run_id,split,true_sum,accuracy,n,confidence
anchor_posterior_b1000_s11,iid_restricted,0,0.42,50,0.23557617
anchor_posterior_b1000_s11,iid_restricted,1,0.7610619469026548,113,0.3876819
anchor_posterior_b1000_s11,iid_restricted,2,0.3701657458563536,181,0.3458384
anchor_posterior_b1000_s11,iid_restricted,3,0.21052631578947367,209,0.19375828
anchor_posterior_b1000_s11,iid_restricted,4,0.5949820788530465,279,0.23904859
anchor_posterior_b1000_s11,iid_restricted,5,0.39375,320,0.23154792
anchor_posterior_b1000_s11,iid_restricted,6,0.2605042016806723,357,0.18695712
anchor_posterior_b1000_s11,iid_restricted,7,0.32547169811320753,424,0.19899349
anchor_posterior_b1000_s11,iid_restricted,8,0.2194616977225673,483,0.2108553
anchor_posterior_b1000_s11,iid_restricted,9,0.20656370656370657,518,0.16765502
anchor_posterior_b1000_s11,iid_restricted,10,0.07482993197278912,441,0.18505366
anchor_posterior_b1000_s11,iid_restricted,11,0.0,305,0.17364764
anchor_posterior_b1000_s11,iid_restricted,12,0.0,217,0.15628053
anchor_posterior_b1000_s11,iid_restricted,13,0.0,103,0.19079962
anchor_posterior_b1000_s11,ood_high_high,10,0.0,122,0.17048994
anchor_posterior_b1000_s11,ood_high_high,11,0.0,297,0.15973617
anchor_posterior_b1000_s11,ood_high_high,12,0.0,442,0.15638785
anchor_posterior_b1000_s11,ood_high_high,13,0.0,635,0.15957507
anchor_posterior_b1000_s11,ood_high_high,14,0.0,776,0.16012263
anchor_posterior_b1000_s11,ood_high_high,15,0.0,703,0.14664347
anchor_posterior_b1000_s11,ood_high_high,16,0.0,519,0.16436121
anchor_posterior_b1000_s11,ood_high_high,17,0.0,331,0.13271572
anchor_posterior_b1000_s11,ood_high_high,18,0.0,175,0.15265068
anchor_posterior_b1000_s23,iid_restricted,0,0.21818181818181817,55,0.1646919
anchor_posterior_b1000_s23,iid_restricted,1,0.648,125,0.32125095
anchor_posterior_b1000_s23,iid_restricted,2,0.46994535519125685,183,0.40103334
anchor_posterior_b1000_s23,iid_restricted,3,0.2235294117647059,255,0.19146554
