method,budget,digit_accuracy_mean,digit_accuracy_std,digit_macro_f1_mean,n_runs
anchor_posterior,1000,0.3344666666666667,0.05859251943152242,0.23742163997411594,3
anchor_posterior,5000,0.9204,0.021750172413109732,0.919810170774296,3
anchor_symbolic,1000,0.3408,0.06124802037617217,0.2454320412863389,3
anchor_symbolic,5000,0.9182,0.011483901775964395,0.918029967767615,3
symbolic_sum,1000,0.294,0.04809750513280289,0.1990326853767231,3
symbolic_sum,5000,0.9377666666666666,0.007938723658960162,0.9364246580063638,3
