method,budget,split,accuracy_mean,accuracy_std,macro_f1_mean,nll_mean,confidence_mean,train_seconds_mean,n_runs
anchor_posterior,64,iid_restricted,0.09375,,0.0090225563909774,2.6912624835968018,0.0994077622890472,0.5958438385277987,1
anchor_posterior,64,ood_high_high,0.0,,0.0,3.2610132694244385,0.0994040146470069,0.5958438385277987,1
direct_sum,64,iid_restricted,0.203125,,0.0177717019822283,2.908324241638184,0.0607677176594734,2.554969225078821,1
direct_sum,64,ood_high_high,0.015625,,0.0016194331983805,2.9476356506347656,0.0607174485921859,2.554969225078821,1
